Model,Train RMSE,Train MAE,Train R2,Validation RMSE,Validation MAE,Validation R2,CV RMSE,CV Std
XGBoost,198695.13306440873,95786.51977426485,0.9860059386173732,1056339.0704762982,154678.429534346,0.636626326927318,849611.59,386177012496.18
LightGBM,427805.1621659752,124290.37221433126,0.9351273920826001,815273.5599567777,165869.20395036796,0.7835520442436508,793413.57,426906186937.85
Extra Trees,70776.65310115504,43389.21930352971,0.9982243827345699,780654.6359737521,139829.0992267598,0.8015438057361859,712084.18,453046744969.83
Random Forest,290865.729067579,71563.22463302244,0.9700115220658643,809447.392898847,146827.6452246668,0.7866345825844183,788405.14,438357546259.63
Gradient Boosting,223636.33453879575,101770.44963840589,0.9822722325296093,818249.3156479821,148136.98718950397,0.7819690867031172,724224.08,468623012828.60
