Model,Validation Accuracy,CV Mean Accuracy,CV Std Accuracy,Training Time (s)
Gradient Boosting,0.8044692737430168,0.8316489862532169,0.021616072355367656,0.21901631355285645
AdaBoost,0.7877094972067039,0.8182097796748478,0.017646621912252962,0.20199346542358398
Random Forest,0.8268156424581006,0.8080911430544221,0.03353027527314701,0.24598240852355957
Logistic Regression,0.8100558659217877,0.7968865733475614,0.02020021745293461,1.2635793685913086
Naive Bayes,0.7988826815642458,0.7946582135459168,0.023246529720534564,0.002000570297241211
Decision Tree,0.7486033519553073,0.7620802209528592,0.03332585952118782,0.009991645812988281
KNN,0.664804469273743,0.694771200803465,0.03371078382122204,0.01207113265991211
SVM,0.6256983240223464,0.6701337015880988,0.04587277502865332,0.18498444557189941
